model_name,accuracy,precision,recall,f1_score,best_model_path
ConvNeXt,0.6386666666666667,0.6698552931986642,0.6386666666666667,0.6096011055337301,best_ConvNeXt.pth
ResNet50V2,0.7986666666666666,0.828160526080198,0.7986666666666666,0.7833152273160414,best_ResNet50V2.pth
